hallgatoid	vizsgaid	jeldatum	ledatum	igazolt	jegy
IR.6871	59	2007.01.12	2007.01.13		
BD.8119	63	2006.12.26			4
LL.5799	97	2006.12.25			
FG.2306	165	2007.01.12			1
TE.0616	55	2006.12.27			2
BF.6471	223	2007.01.08			3
LT.9524	291	2006.12.18		-1	
BD.5403	113	2007.01.10			4
HK.4101	100	2007.01.10			5
BB.8483	393	2007.01.08	2007.01.08		
KT.0459	196	2007.01.06	2007.01.06		
BZ.5983	8	2007.01.12			3
TI.6284	236	2007.01.12	2007.01.12		
PG.1224	39	2006.12.20		-1	
TO.7628	68	2007.01.09			1
HR.6312	55	2006.12.26			1
PZ.5820	334	2007.01.07			1
KR.1250	82	2007.01.12	2007.01.13		
GG.4642	50	2006.12.25	2006.12.25		
GZ.1249	242	2006.12.16			1
SM.9865	96	2007.01.09			4
BÉ.6009	90	2007.01.06			3
PA.3366	253	2007.01.07		-1	
PL.3848	303	2007.01.12			4
KG.6963	412	2006.12.18			2
LE.1664	119	2006.12.26			2
SL.0953	273	2006.12.31			1
SL.0953	382	2006.12.30			4
VK.9974	400	2007.01.11			1
KÁ.9181	280	2006.12.31			1
KJ.7692	356	2007.01.12			3
NÁ.8086	437	2006.12.31			2
ÁD.1122	252	2006.12.17			5
KL.3902	355	2007.01.04			1
KT.7545	395	2006.12.17	2006.12.17		
HL.5256	25	2007.01.04	2007.01.04		
SA.3491	365	2006.12.19			1
BJ.6683	356	2007.01.13			5
BJ.6683	156	2007.01.09	2007.01.09		
HR.4421	311	2006.12.20			1
ZE.8808	78	2006.12.17	2006.12.17		
WT.5063	226	2007.01.13			
NF.3575	298	2007.01.13			3
BT.6827	336	2007.01.13			3
MB.3857	71	2007.01.05	2007.01.05		
JE.5179	273	2007.01.01			4
BD.8119	204	2006.12.17			1
FC.6932	63	2006.12.27			4
TL.8183	427	2007.01.13			1
KM.6649	371	2007.01.08	2007.01.08		
SL.3904	361	2007.01.13	2007.01.14		
MZ.4492	405	2006.12.16		-1	
DT.8003	195	2006.12.26			4
UI.5361	175	2006.12.20			1
BP.9080	64	2007.01.13	2007.01.13		
CA.0932	437	2006.12.31			2
KI.8812	110	2007.01.13			1
ÖI.7617	402	2007.01.08			1
NA.4463	80	2007.01.13			2
TG.1437	6	2006.12.19	2006.12.20		
KO.6324	420	2007.01.02			4
BZ.9764	125	2007.01.01		-1	
MD.7267	330	2006.12.19			1
KP.2242	426	2007.01.13			1
MN.5413	90	2007.01.05	2007.01.05		
HB.5620	330	2006.12.18	2006.12.19		
PR.4192	412	2006.12.18		-1	
TF.2566	194	2006.12.18			2
KG.9294	7	2006.12.17			2
SB.5954	75	2006.12.31			2
DF.9341	402	2007.01.07			1
TÁ.5800	54	2006.12.31	2007.01.01		
KG.6963	211	2006.12.27			4
SK.0547	347	2007.01.13			2
HI.5860	357	2007.01.13			1
HG.8463	199	2007.01.09			1
ET.9171	69	2007.01.13			4
KL.0128	11	2007.01.13	2007.01.14		
VL.8552	349	2006.12.15			4
VL.8552	382	2006.12.31		-1	
KG.5759	59	2007.01.13			5
BÉ.5035	300	2007.01.10	2007.01.11		
KO.7409	381	2006.12.18			4
DN.4292	353	2007.01.04			3
KÁ.8897	387	2007.01.05			5
LK.8140	173	2007.01.03	2007.01.03		
KN.4319	160	2007.01.14			2
KT.7545	365	2006.12.20			2
ST.7445	253	2007.01.08			2
VG.9528	289	2007.01.14			2
BP.4530	385	2007.01.08			3
NK.4348	77	2007.01.14	2007.01.15		
SP.3373	267	2007.01.14	2007.01.14		
FL.5093	290	2007.01.02	2007.01.02		
RI.3240	419	2007.01.14		-1	
SN.6134	307	2006.12.25			2
TA.1306	399	2007.01.14			4
JR.7464	237	2006.12.17		-1	
BA.2113	43	2007.01.14			5
LZ.5815	277	2006.12.20			2
BG.9979	423	2007.01.01	2007.01.01		
KN.8713	195	2006.12.27			5
BE.4516	243	2007.01.10			1
SB.9701	346	2007.01.14			1
MZ.4492	105	2006.12.16			3
SO.1532	141	2007.01.11			2
EZ.8360	219	2007.01.14		-1	
ZZ.2484	210	2007.01.14	2007.01.14		
NS.3996	189	2007.01.11			1
NN.4315	137	2006.12.18			
MI.1330	375	2006.12.26			1
BZ.9764	149	2006.12.28			5
NM.2008	191	2007.01.02			1
BA.7773	166	2007.01.01			2
MD.7267	405	2006.12.16			1
VE.9558	6	2006.12.19			2
ME.5005	244	2007.01.07			5
UM.2650	195	2006.12.26			5
SL.2776	76	2006.12.26	2006.12.26		
KV.6227	327	2007.01.14			1
ZI.1687	270	2006.12.26			2
SR.3743	36	2007.01.14			2
TA.0240	424	2007.01.14			
DZ.2573	192	2006.12.28			4
SG.4984	92	2006.12.28	2006.12.28		
TT.5109	284	2007.01.14			4
BR.2130	266	2007.01.14			5
HN.3762	188	2007.01.14			3
NÁ.0883	56	2006.12.25			2
FZ.0441	249	2006.12.16	2006.12.16		
HI.5860	361	2007.01.14		-1	
KA.6760	171	2006.12.19			1
FA.0859	438	2007.01.14			2
NS.0091	352	2006.12.26			2
KT.3375	97	2006.12.26		-1	
KO.6387	35	2007.01.14			1
VZ.2157	312	2006.12.26	2006.12.26		
CA.3447	106	2007.01.07	2007.01.08		
JP.5653	430	2007.01.14			5
FN.3441	84	2006.12.18	2006.12.18		
SA.2066	386	2006.12.17			1
ZB.0230	70	2007.01.04			4
VE.3175	329	2007.01.15			1
BA.1855	40	2007.01.15			2
ÖK.7126	387	2007.01.05			4
BE.0806	78	2006.12.16	2006.12.18		
TN.1238	155	2006.12.28			2
MR.4488	126	2006.12.19			1
VÁ.1907	228	2006.12.16	2006.12.16		
BC.6620	360	2007.01.15			3
NF.3575	3	2006.12.18	2006.12.18		
DP.6361	175	2006.12.21			1
HR.5369	261	2007.01.02		-1	
TG.7327	309	2007.01.15			2
KN.8713	108	2007.01.07			4
KM.6649	248	2006.12.18		-1	
KM.6649	87	2006.12.25			1
TV.2732	143	2006.12.31	2007.01.01		
BD.2876	64	2007.01.15	2007.01.16		
BD.2876	2	2007.01.15			2
DT.8003	51	2007.01.12			3
FK.2581	374	2007.01.12			1
BÁ.4304	290	2006.12.31			1
BÁ.4304	64	2007.01.15		-1	
VJ.5418	413	2007.01.15			
AG.3206	99	2006.12.16		-1	
AG.3206	175	2006.12.21	2006.12.21		
FA.2291	220	2007.01.02			1
SG.0052	231	2007.01.15			4
NN.4315	100	2007.01.10			3
BL.1618	12	2006.12.25			4
CL.7897	331	2007.01.03			2
TI.6284	345	2007.01.08		-1	
EJ.8890	110	2007.01.15			3
ML.8721	238	2006.12.16	2006.12.16		
KZ.0655	280	2006.12.31			2
VP.4293	154	2006.12.30		-1	
SM.9865	112	2007.01.01			3
PR.4192	286	2007.01.11		-1	
ZA.1437	422	2006.12.17			4
SG.4984	207	2006.12.18			1
PB.8902	4	2006.12.26			2
TF.2566	222	2007.01.06			3
BS.8812	289	2007.01.15			5
KD.2748	180	2007.01.12	2007.01.12		
LD.8285	431	2007.01.03			5
SL.0953	178	2007.01.11			2
KT.3375	252	2006.12.17			3
KG.5759	64	2007.01.15			4
JP.5653	151	2007.01.15			5
BÉ.5035	276	2006.12.28	2006.12.28		
KI.8112	419	2007.01.15			3
ZB.0230	13	2007.01.08			1
VS.7756	339	2007.01.05			4
SE.5166	250	2007.01.16			1
ÖK.7126	306	2007.01.12			3
KN.8193	117	2006.12.26			1
FK.6713	369	2007.01.16			3
KR.2012	26	2007.01.16			1
SB.9701	8	2007.01.16			
SL.3904	260	2007.01.16		-1	
KP.9401	310	2006.12.31			5
NI.9715	104	2006.12.20	2006.12.20		
DT.8003	333	2007.01.16	2007.01.16		
BI.7214	271	2006.12.25			1
KJ.0231	113	2007.01.11			3
BÁ.4304	102	2006.12.18			2
ÖI.7617	17	2007.01.02			3
HZ.0315	167	2007.01.16			3
KZ.5876	425	2007.01.11			2
NA.8989	20	2007.01.16			4
SÁ.1945	151	2007.01.16			3
VA.2259	432	2007.01.10	2007.01.11		
SF.4730	262	2007.01.01			5
SC.0593	109	2007.01.16			
PJ.2796	407	2007.01.16			4
ZA.1437	440	2007.01.12			2
GZ.2610	253	2007.01.08			2
FZ.0441	304	2007.01.08			2
HI.5860	168	2006.12.19			
JZ.0375	420	2007.01.03			2
KA.5612	242	2006.12.15		-1	
FV.6217	422	2006.12.18			1
SN.0628	12	2006.12.24			4
KK.6508	300	2007.01.10			3
IB.7575	163	2007.01.14			3
DT.3892	188	2007.01.17			5
SA.3491	14	2007.01.05			3
LG.7708	379	2007.01.15			3
KG.2387	303	2007.01.17			5
BT.1841	284	2007.01.15			3
TR.0881	292	2007.01.17			2
PC.4269	346	2007.01.17	2007.01.17		
LE.2285	127	2007.01.15			2
FB.9611	337	2006.12.17			4
BA.7082	268	2007.01.17			5
ZE.5201	337	2006.12.16			1
SI.5869	284	2007.01.14			5
ÁE.4776	137	2006.12.18			5
WZ.8323	149	2006.12.27	2006.12.28		
ME.0837	47	2006.12.18			1
BD.2876	337	2006.12.18		-1	
BO.5754	264	2007.01.17	2007.01.21		
GF.0708	211	2006.12.25			5
SG.0599	266	2007.01.17			2
TS.9114	180	2007.01.12			4
TE.5221	200	2007.01.09			1
BV.3992	243	2007.01.10		-1	
GL.2493	47	2006.12.18			3
KA.3780	210	2007.01.17	2007.01.17		
KZ.1562	154	2007.01.01	2007.01.01		
WA.8639	323	2007.01.17			2
NL.0666	353	2007.01.02		-1	
PJ.2796	249	2006.12.18			
BÉ.6009	35	2007.01.17	2007.01.17		
BL.2288	389	2007.01.17			2
FI.7903	10	2006.12.19			
MR.9395	93	2006.12.31	2006.12.31		
MZ.7231	192	2006.12.28			3
FZ.0441	342	2006.12.20			5
NE.7433	385	2007.01.08		-1	
BA.0955	41	2007.01.17			4
JA.1261	325	2006.12.17			
KE.5770	78	2006.12.18			2
BD.1068	61	2007.01.17			3
MB.0743	295	2007.01.17			2
MB.0743	95	2007.01.15			1
GF.0541	190	2006.12.19			2
TN.1238	288	2006.12.27		-1	
FS.9718	197	2006.12.28			3
MR.4488	296	2007.01.18			2
ND.5203	148	2006.12.17			3
NG.2881	156	2007.01.09	2007.01.09		
IR.6871	226	2007.01.18			3
KP.9401	90	2007.01.06		-1	
EZ.8360	29	2006.12.27			1
BÁ.4304	191	2007.01.01			2
MK.5059	236	2007.01.13	2007.01.14		
HZ.0315	84	2006.12.18	2006.12.18		
TS.9114	139	2006.12.30			2
KZ.0395	185	2007.01.16			1
SZ.3537	185	2007.01.15			1
JF.5763	257	2007.01.18			2
TV.3306	68	2007.01.11			1
SJ.3347	381	2006.12.18			
SR.9913	93	2006.12.30			1
SA.5551	92	2006.12.28			2
KR.8740	225	2007.01.14	2007.01.14		
NK.3783	439	2006.12.17			1
DZ.0482	313	2006.12.21			
PB.8902	26	2007.01.18	2007.01.21		
KE.5770	331	2007.01.03			
KA.6760	334	2007.01.07			5
KA.6760	74	2006.12.17			3
DE.4400	256	2007.01.02			4
SP.1261	181	2007.01.07		-1	
VZ.9407	180	2007.01.13			4
BÁ.5107	94	2007.01.03			2
KI.8112	295	2007.01.18			3
FV.6217	405	2006.12.17			1
DZ.5170	79	2007.01.05	2007.01.07		
MM.7225	259	2007.01.14			3
VS.7756	27	2006.12.18			4
BT.4289	63	2006.12.26			3
HO.9226	165	2007.01.19		-1	
BE.0864	241	2007.01.07			4
GD.2000	266	2007.01.18		-1	
RA.8864	24	2007.01.17			2
MÉ.0065	241	2007.01.07	2007.01.07		
BE.4516	238	2006.12.17	2006.12.18		
BE.4516	288	2006.12.26			
KA.9211	253	2007.01.08			1
ZM.2168	319	2007.01.01		-1	
ME.0837	412	2006.12.19		-1	
LG.7815	160	2007.01.14			
ZT.0107	47	2006.12.19			2
LZ.3412	369	2007.01.19			4
VF.7140	262	2007.01.02			4
HD.9079	412	2006.12.19			2
UI.5361	264	2007.01.19			2
SO.1532	187	2007.01.07			4
EZ.8360	130	2006.12.31			3
LT.9524	110	2007.01.19			2
LT.9524	223	2007.01.08			2
PB.2815	63	2006.12.27			3
NA.4463	243	2007.01.11			2
KE.7992	354	2007.01.01	2007.01.02		
TT.9111	96	2007.01.09			3
CM.4548	149	2006.12.26		-1	
FE.7877	429	2006.12.26	2006.12.27		
BV.6067	3	2006.12.17			2
ML.8721	410	2007.01.19			2
SN.8048	310	2006.12.31			2
KG.9667	334	2007.01.07			5
FA.4088	370	2007.01.19			4
MG.0051	254	2006.12.18			
FZ.0441	248	2006.12.18			1
JZ.0375	121	2007.01.15			3
PJ.7593	291	2006.12.16	2006.12.16		
LE.1664	86	2007.01.09			1
SL.0953	176	2006.12.27	2006.12.27		
JZ.7509	92	2006.12.26			3
KJ.7692	298	2007.01.19			1
LN.4151	125	2006.12.30			2
BK.0518	292	2007.01.20		-1	
MR.0674	121	2007.01.15			
MV.6897	335	2007.01.16			
MR.4488	112	2007.01.01			1
ST.7445	300	2007.01.09	2007.01.09		
KB.1685	305	2007.01.20			4
BG.0504	329	2007.01.20			1
MZ.6513	2	2007.01.15			3
KN.8193	3	2006.12.18	2006.12.18		
VZ.0162	299	2007.01.14			2
VZ.0162	419	2007.01.20			2
OZ.4561	419	2007.01.20			2
WT.5063	10	2006.12.19			1
GP.7213	93	2007.01.01	2007.01.01		
RI.3240	105	2006.12.15	2006.12.16		
BT.6827	227	2007.01.02			
SK.7904	263	2007.01.20	2007.01.20		
JR.7464	330	2006.12.18			3
DP.6361	116	2007.01.01		-1	
RA.8864	317	2007.01.20	2007.01.24		
SÁ.2118	160	2007.01.13			3
FR.6982	276	2006.12.27			1
BE.4516	56	2006.12.25			3
KN.2792	366	2006.12.15			2
SK.6666	221	2007.01.01	2007.01.01		
PT.8998	429	2006.12.26			1
NI.9715	404	2007.01.20			2
SM.0077	274	2007.01.02	2007.01.02		
TP.5347	153	2007.01.20			4
TZ.4279	90	2007.01.06			2
KJ.0231	413	2007.01.20		-1	
KB.1173	429	2006.12.27			2
WA.7808	238	2006.12.18	2006.12.18		
BM.2708	252	2006.12.17			3
DT.2128	143	2006.12.31			1
PG.1224	52	2006.12.31			5
NE.8592	357	2007.01.20		-1	
SÁ.1945	263	2007.01.20			1
GL.2493	8	2007.01.17			1
HM.1325	233	2006.12.18			3
MR.2266	144	2006.12.27			1
MR.2266	306	2007.01.14			1
SZ.5839	414	2007.01.09			2
MB.1464	44	2007.01.15			3
NK.3080	381	2006.12.19			1
BJ.3138	291	2006.12.17			1
VI.6465	248	2006.12.20			
KO.7409	432	2007.01.11			1
LK.8140	349	2006.12.16		-1	
KA.2208	248	2006.12.19			1
BK.0518	65	2006.12.26			5
SN.0628	422	2006.12.19			2
CL.2002	224	2006.12.18	2006.12.19		
BT.4289	171	2006.12.21			1
CI.3333	58	2007.01.21			5
MM.1932	385	2007.01.06		-1	
KL.1723	202	2007.01.09			3
KE.1884	147	2007.01.21			2
SK.7904	179	2006.12.20	2006.12.20		
KÁ.7195	384	2006.12.15			3
HZ.1789	192	2006.12.28	2006.12.28		
TZ.5158	316	2007.01.07			2
JR.7464	209	2006.12.15			5
ZM.2168	111	2007.01.15			3
KR.7990	69	2007.01.21	2007.01.21		
PK.9395	54	2007.01.01	2007.01.02		
HT.7473	344	2007.01.08			5
BI.7214	429	2006.12.27			2
BÁ.4304	122	2007.01.03	2007.01.03		
MT.8909	420	2007.01.02	2007.01.03		
BD.5403	342	2006.12.20		-1	
NS.3996	106	2007.01.07			3
MG.4956	2	2007.01.13	2007.01.13		
SB.1666	301	2007.01.16	2007.01.16		
DD.1368	413	2007.01.21			4
SA.5243	289	2007.01.21			2
MI.1330	398	2006.12.15			1
BB.8483	417	2006.12.28			2
BA.7773	366	2006.12.15	2006.12.17		
DZ.3353	221	2007.01.02			5
BM.2708	174	2007.01.16	2007.01.18		
KD.9655	119	2006.12.24			4
DT.2128	190	2006.12.20			
KB.0973	443	2007.01.15	2007.01.17		
VA.2259	403	2007.01.21			2
SC.0666	322	2007.01.08		-1	
MR.2266	22	2007.01.04		-1	
MR.2266	270	2006.12.25	2006.12.26		
KM.5655	86	2007.01.08	2007.01.09		
FA.4088	433	2007.01.09			1
NI.7875	73	2007.01.14			3
TT.5109	94	2007.01.02			2
BK.5793	139	2006.12.30	2006.12.31		
EF.1115	299	2007.01.14	2007.01.16		
TZ.6012	279	2006.12.16	2006.12.17		
SZ.3418	98	2007.01.03			1
VK.9974	228	2006.12.15			5
KO.6387	81	2006.12.28		-1	
KA.5612	252	2006.12.16			1
CA.3447	226	2007.01.21			4
VZ.9407	88	2007.01.10			1
TÁ.6462	82	2007.01.21			1
KG.5759	393	2007.01.07	2007.01.07		
TR.9276	371	2007.01.10			1
GF.0541	326	2006.12.17			5
DK.7517	247	2007.01.16			1
KT.7545	158	2006.12.26			3
OI.5285	13	2007.01.08			2
JT.2233	38	2006.12.26			1
SA.3491	384	2006.12.17			5
TR.0881	103	2007.01.02			3
BG.0504	5	2007.01.15			1
MZ.6513	183	2007.01.13			3
WT.5063	194	2006.12.16			2
TF.3880	49	2007.01.22			4
MP.1548	362	2007.01.22			1
ZE.5201	226	2007.01.22		-1	
ZE.5201	336	2007.01.17			2
WZ.8323	296	2007.01.22			4
RI.9112	220	2007.01.02			
VK.6810	13	2007.01.10			1
VK.6810	92	2006.12.28			4
BR.6915	247	2007.01.15			5
FC.6932	297	2007.01.01			3
TL.8183	291	2006.12.17			2
BA.2113	100	2007.01.10			2
KR.2012	168	2006.12.21			3
PT.8998	333	2007.01.22		-1	
KP.9401	174	2007.01.16			2
HT.7473	403	2007.01.22			1
SO.1532	244	2007.01.07			4
SO.1532	168	2006.12.20			
SM.0077	427	2007.01.19			
VG.7645	96	2007.01.09			1
BZ.9764	106	2007.01.07			3
BA.7773	368	2006.12.20		-1	
HE.4604	386	2006.12.18			3
HE.4604	22	2007.01.04			2
NE.8938	195	2006.12.27	2006.12.28		
JF.5763	72	2007.01.20			4
SZ.8420	105	2006.12.16	2006.12.17		
TM.7445	291	2006.12.16			2
SF.4730	299	2007.01.14			1
JZ.1385	423	2007.01.02			1
BB.6597	196	2007.01.06	2007.01.07		
SP.7181	395	2006.12.16			2
HB.5620	310	2006.12.30			2
KM.5655	173	2007.01.03	2007.01.03		
OB.4080	174	2007.01.16		-1	
FI.2594	247	2007.01.16	2007.01.16		
ET.9171	361	2007.01.14			2
VL.8552	10	2006.12.21		-1	
SE.4988	300	2007.01.09	2007.01.09		
ZB.0230	327	2007.01.14	2007.01.16		
ZB.0230	155	2006.12.28			2
PL.8174	10	2006.12.21			
BT.4289	256	2007.01.03			3
ZV.6094	349	2006.12.16			2
ZE.8808	200	2007.01.10			5
JC.5136	414	2007.01.09	2007.01.10		
FN.9800	67	2007.01.14			5
GF.0708	286	2007.01.11	2007.01.11		
KJ.0231	107	2006.12.18			2
MI.1330	123	2006.12.16			2
HK.4101	71	2007.01.07			2
EI.6287	227	2007.01.02			1
CM.4548	251	2007.01.06			2
BA.7773	369	2007.01.21			5
JF.5763	335	2007.01.16			
DP.8019	335	2007.01.15			3
KZ.5427	46	2007.01.10			2
LC.1783	124	2006.12.27			4
SI.9506	227	2007.01.02			2
PL.3848	419	2007.01.23			4
PZ.5131	315	2007.01.23			2
BA.0955	145	2006.12.30			3
BL.2493	124	2006.12.27			4
KA.5612	233	2006.12.18			5
BA.1855	58	2007.01.22			3
NI.0775	142	2006.12.17	2006.12.17		
TF.3880	160	2007.01.14			1
FL.5093	107	2006.12.18			1
ÁE.4776	289	2007.01.21			1
RI.9112	1	2007.01.17			2
GA.7092	312	2006.12.26			1
KJ.0231	66	2007.01.17			1
NA.4463	99	2006.12.15			1
KO.6324	183	2007.01.15			3
TT.9111	190	2006.12.20			2
HK.4101	154	2006.12.31			2
BL.1618	121	2007.01.16			1
SA.5551	137	2006.12.19			3
PM.3407	36	2007.01.21		-1	
BK.5793	74	2006.12.18			2
DF.9341	333	2007.01.24	2007.01.24		
OB.4080	233	2006.12.20			4
HG.8463	188	2007.01.15			1
ET.9171	17	2007.01.04			3
KÁ.9181	12	2006.12.24			1
KA.2208	203	2006.12.26			4
FK.0490	187	2007.01.07			
HA.5132	173	2007.01.01			4
VZ.6218	196	2007.01.07			4
BP.4530	423	2007.01.02	2007.01.02		
HF.1310	345	2007.01.08			4
BE.4516	237	2006.12.15			2
HR.9880	138	2007.01.07			4
BJ.1909	190	2006.12.20			5
TA.0240	379	2007.01.15			3
MN.2313	108	2007.01.07			1
GZ.1249	37	2007.01.03			1
ST.9977	151	2007.01.21			4
